Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
1,1,19,0,2,11752,26.2833,2,1
3,0,19,0,0,365222,6.75,1,-1
2,0,19,1,1,33112,36.75,2,-1
2,0,19,0,0,28424,13,2,-1
3,1,19,1,0,350046,7.8542,2,1
2,0,19,0,0,751,10.5,2,1
2,0,19,0,0,28665,10.5,2,-1
3,0,19,0,0,5,8.05,2,1
1,1,19,1,0,11967,91.0792,0,1
3,0,19,0,0,0,0,2,-1
3,0,19,0,0,323951,8.05,2,-1
3,0,19,0,0,347069,7.775,2,-1
2,1,19,0,0,250655,26,2,1
2,1,19,1,0,2908,26,2,1
3,0,19,0,0,349205,7.8958,2,-1
3,0,19,0,0,358585,14.5,2,-1
3,0,19,0,0,349231,7.8958,2,-1
3,0,19,0,0,349228,10.1708,2,-1
3,0,19,0,0,348124,7.65,2,-1
1,0,19,1,0,113773,53.1,2,-1
3,0,19,0,0,349212,7.8958,2,-1
1,1,19,0,0,112053,30,2,1
3,0,20,0,0,5,8.05,2,-1
3,0,20,0,0,347466,7.8542,2,-1
3,1,20,1,0,4136,9.825,2,-1
3,0,20,0,0,3101307,7.05,2,-1
3,0,20,0,0,2648,4.0125,0,-1
3,1,20,0,0,315096,8.6625,2,-1
3,0,20,0,0,345769,9.5,2,-1
3,0,20,1,1,2653,15.7417,0,1
3,0,20,0,0,350050,7.8542,2,-1
3,0,20,1,0,2,7.925,2,1
3,0,20,0,0,6563,9.225,2,-1
3,0,20,0,0,315094,8.6625,2,-1
3,0,20,0,0,2663,7.2292,0,1
3,0,20,0,0,2,7.925,2,-1
3,0,20,0,0,7534,9.8458,2,-1
3,0,20.5,0,0,5,7.25,2,-1
3,0,21,0,0,5,8.05,2,-1
3,0,21,0,0,4,7.8,2,-1
2,1,21,0,0,31026,10.5,2,1
2,0,21,0,0,14879,73.5,2,-1
1,0,21,0,1,35281,77.2875,2,-1
3,1,21,0,0,343120,7.65,2,1
3,0,21,0,0,2,7.925,2,-1
2,0,21,2,0,14879,73.5,2,-1
3,0,21,0,0,2,7.925,2,-1
3,0,21,0,0,350034,7.7958,2,1
3,1,21,1,0,4137,9.825,2,-1
3,0,21,0,0,312992,7.775,2,-1
3,0,21,0,0,5,7.7333,1,-1
3,1,21,2,2,6608,34.375,2,-1
3,0,21,0,0,3101317,7.25,2,-1
3,0,21,0,0,4,8.05,2,-1
3,1,21,0,0,364846,7.75,1,-1
3,0,21,0,0,350029,7.8542,2,-1
3,0,21,0,0,54636,16.1,2,-1
1,1,21,0,0,13502,77.9583,2,1
3,0,21,0,0,8475,8.4333,2,-1
1,1,21,2,2,17608,262.375,0,1
3,0,21,0,0,315097,8.6625,2,-1
2,0,21,1,0,28134,11.5,2,-1
3,0,22,1,0,21171,7.25,2,-1
3,0,22,0,0,2669,7.2292,0,-1
3,0,22,0,0,345767,9,2,-1
3,0,22,0,0,324669,8.05,2,-1
3,1,22,0,0,347081,7.75,2,1
1,1,22,1,0,113776,66.6,2,1
3,0,22,0,0,5,7.25,2,-1
3,0,22,0,0,4348,9.35,2,-1
3,0,22,0,0,2,7.125,2,-1
3,0,22,0,0,349206,7.8958,2,-1
3,1,22,0,0,370373,7.75,1,1
3,0,22,0,0,5,7.25,2,-1
2,1,22,1,1,248738,29,2,1
1,1,22,0,1,113505,55,2,1
1,0,22,0,0,17760,135.6333,0,-1
3,1,22,0,0,7077,7.25,2,1
3,0,22,0,0,350052,7.7958,2,-1
3,1,22,0,0,7553,9.8375,2,-1
3,0,22,0,0,350060,7.5208,2,-1
3,0,22,0,0,349252,7.8958,2,-1
1,1,22,0,2,13568,49.5,0,1
3,0,22,0,0,2620,7.225,0,1
3,1,22,0,0,347085,7.775,2,1
3,0,22,0,0,14973,8.05,2,-1
2,1,22,1,2,2123,41.5792,0,1
1,1,22,0,0,113781,151.55,2,1
3,1,22,0,0,7552,10.5167,2,-1
1,1,23,3,2,19950,263,2,1
1,0,23,0,1,17759,63.3583,0,1
2,0,23,0,0,2133,15.0458,0,-1
3,0,23,0,0,7267,9.225,2,-1
1,1,23,1,0,35273,113.275,0,1
2,0,23,0,0,244278,10.5,2,-1
2,1,23,0,0,541,13.7917,0,1
2,0,23,2,1,29104,11.5,2,-1
3,1,23,0,0,2314,7.55,2,1
2,0,23,0,0,29751,13,2,-1
2,0,23,0,0,28425,13,2,-1
2,0,23,0,0,233639,13,2,-1
3,0,23,0,0,349204,7.8958,2,-1
3,1,23,0,0,2,7.925,2,-1
3,0,23,0,0,347468,7.8542,2,-1
3,0,23.5,0,0,2693,7.2292,0,-1
3,0,24,0,0,343275,8.05,2,-1
1,0,24,0,1,17558,247.5208,0,-1
3,0,24,0,0,17369,7.1417,2,1
1,0,24,0,0,17593,79.2,0,-1
3,1,24,1,0,2,15.85,2,1
2,1,24,0,0,248747,13,2,-1
3,0,24,0,0,3101311,7.05,2,-1
2,0,24,0,0,29566,10.5,2,-1
2,1,24,0,2,250649,14.5,2,1
3,1,24,0,0,349236,8.85,2,-1
3,0,24,0,0,349233,7.8958,2,-1
1,1,24,0,0,11767,83.1583,0,1
2,1,24,1,0,244367,26,2,1
1,1,24,3,2,19950,263,2,1
2,1,24,0,0,248733,13,2,1
1,1,24,0,0,17477,69.3,0,1
3,1,24,0,2,9549,16.7,2,1
2,1,24,2,3,29106,18.75,2,1
3,0,24,0,0,350035,7.7958,2,-1
3,0,24,0,0,349209,7.4958,2,-1
3,0,24,2,0,4,24.15,2,-1
2,1,24,2,1,243847,27,2,1
2,1,24,1,2,220845,65,2,1
1,1,24,0,0,17477,69.3,0,1
2,0,24,2,0,14879,73.5,2,-1
1,1,24,0,0,17482,49.5042,0,1
3,0,24,1,0,376566,16.1,2,-1
3,0,24,0,0,345781,9.5,2,-1
3,1,24,0,3,2666,19.2583,0,1
2,0,24,0,0,233866,13,2,-1
3,0,24.5,0,0,342826,8.05,2,-1
3,0,25,0,0,348123,7.65,2,-1
2,0,25,0,0,29178,13,2,-1
3,1,25,0,0,347071,7.775,2,-1
3,0,25,1,0,347083,7.775,2,1
3,0,25,0,0,0,0,2,1
2,0,25,0,0,244361,13,2,-1
3,0,25,1,0,349237,17.8,2,-1
1,0,25,1,0,11765,55.4417,0,1
3,0,25,1,0,347076,7.775,2,-1
1,0,25,1,0,11967,91.0792,0,1
1,1,25,1,2,113781,151.55,2,-1
2,1,25,1,1,237789,30,2,1
2,0,25,0,0,234686,13,2,-1
2,0,25,1,2,2123,41.5792,0,-1
3,0,25,0,0,2672,7.225,0,-1
3,0,25,0,0,36864,7.7417,1,-1
2,0,25,1,0,236853,26,2,-1
3,1,25,1,0,2,7.925,2,-1
3,0,25,0,0,3101312,7.05,2,-1
3,0,25,0,0,374887,7.25,2,-1
3,0,25,0,0,349203,7.8958,2,-1
2,1,25,0,1,230433,26,2,1
3,0,25,0,0,392076,7.05,2,-1
3,1,26,0,0,3101282,7.925,2,1
3,0,26,2,0,315151,8.6625,2,-1
3,0,26,1,0,2680,14.4542,0,-1
3,0,26,1,2,2315,20.575,2,-1
3,0,26,0,0,347068,7.775,2,-1
3,0,26,0,0,2699,18.7875,0,1
1,1,26,0,0,19877,78.85,2,1
2,1,26,1,1,250651,26,2,-1
3,1,26,0,0,347470,7.8542,2,1
3,0,26,0,0,341826,8.05,2,-1
3,0,26,0,0,1601,56.4958,2,1
3,1,26,1,0,5,16.1,2,-1
2,0,26,0,0,31028,10.5,2,-1
3,0,26,0,0,349224,7.8958,2,-1
3,0,26,1,0,350025,7.8542,2,-1
3,0,26,0,0,3474,7.8875,2,-1
3,0,26,0,0,349248,7.8958,2,-1
1,0,26,0,0,111369,30,0,1
3,1,27,0,2,347742,11.1333,2,1
2,1,27,1,0,11668,21,2,-1
3,0,27,0,0,350043,7.7958,2,1
3,1,27,0,0,2,7.925,2,1
2,0,27,0,0,220367,13,2,-1
3,0,27,0,0,349219,7.8958,2,-1
1,0,27,0,2,113503,211.5,0,-1
2,0,27,0,0,244358,26,2,-1
1,0,27,0,0,113804,30.5,2,1
3,0,27,1,0,2659,14.4542,0,-1
1,0,27,0,0,17572,76.7292,0,1
2,1,27,0,0,34218,10.5,2,1
1,0,27,1,0,113806,53.1,2,1
3,0,27,0,0,347089,6.975,2,1
3,0,27,0,0,315098,8.6625,2,1
3,1,27,0,1,392096,12.475,2,1
2,1,27,1,0,2149,13.8583,0,1
2,0,27,0,0,211536,13,2,-1
1,0,28,0,0,113788,35.5,2,1
1,0,28,1,0,17604,82.1708,0,-1
1,0,28,0,0,113059,47.1,2,-1
3,1,28,0,0,349245,7.8958,2,-1
3,0,28,0,0,349207,7.8958,2,-1
3,0,28,0,0,1601,56.4958,2,-1
3,0,28,0,0,345770,9.5,2,-1
3,0,28,0,0,347464,7.8542,2,-1
3,0,28,0,0,349243,7.8958,2,-1
2,0,28,0,0,248740,13,2,-1
3,0,28,0,0,345783,9.5,2,-1
3,0,28,2,0,3101277,7.925,2,-1
2,1,28,0,0,240929,12.65,2,1
3,0,28,1,0,2,15.85,2,-1
3,1,28,1,1,347080,14.4,2,-1
2,1,28,1,0,2003,26,2,1
1,0,28,0,0,110564,26.55,2,1
2,1,28,0,0,230434,13,2,1
3,0,28,0,0,4001,22.525,2,-1
2,0,28,0,0,218629,13.5,2,-1
2,1,28,0,0,237668,13,2,1
3,0,28,0,0,350042,7.7958,2,-1
2,0,28,0,1,248727,33,2,-1
2,1,28,1,0,3381,24,0,1
2,0,28,0,0,34068,10.5,2,-1
3,0,28.5,0,0,2697,7.2292,0,-1
3,0,28.5,0,0,54636,16.1,2,-1
2,1,29,1,0,2926,26,2,1
2,1,29,0,0,29395,10.5,2,1
3,0,29,0,0,345779,9.5,2,1
3,0,29,0,0,343276,8.05,2,-1
2,0,29,1,0,11668,21,2,-1
2,1,29,1,0,228414,26,2,1
3,0,29,0,0,347067,7.775,2,-1
2,0,29,0,0,14263,10.5,2,-1
3,1,29,1,1,347054,10.4625,2,-1
3,1,29,0,2,2650,15.2458,0,1
1,0,29,1,0,113776,66.6,2,-1
2,0,29,1,0,2167,27.7208,0,-1
3,0,29,0,0,315082,7.875,2,-1
3,0,29,0,0,349240,7.8958,0,1
3,0,29,1,0,3460,7.0458,2,-1
3,0,29,0,0,382651,7.75,1,1
3,1,29,0,4,349909,21.075,2,-1
3,0,29,0,0,7545,9.4833,2,-1
1,1,29,0,0,24160,211.3375,2,1
1,0,29,0,0,113501,30,2,-1
3,1,30,0,0,364516,12.475,2,1
3,0,30,0,0,392090,8.05,2,-1
2,0,30,0,0,250653,13,2,-1
2,0,30,0,0,250646,13,2,-1
2,0,30,0,0,14208,10.5,2,-1
3,0,30,0,0,2694,7.225,0,-1
3,0,30,1,0,5,16.1,2,-1
1,1,30,0,0,110152,86.5,2,1
3,0,30,0,0,345774,9.5,2,1
2,0,30,1,0,3381,24,0,-1
1,1,30,0,0,17485,56.9292,0,1
2,1,30,0,0,234818,12.35,1,1
3,0,30,0,0,7076,7.25,2,-1
2,0,30,0,0,28228,13,2,-1
1,0,30,0,0,113051,27.75,0,-1
3,0,30,0,0,5,8.05,2,-1
1,1,30,0,0,12749,93.5,2,1
3,1,30,0,0,315084,8.6625,2,-1
1,1,30,0,0,17761,106.425,0,1
3,0,30,0,0,349246,7.8958,2,-1
2,1,30,3,0,31027,21,2,1
2,1,30,0,0,250648,13,2,1
3,0,30,0,0,2685,7.2292,0,-1
3,1,30,1,1,345773,24.15,2,-1
1,1,30,0,0,113798,31,0,1
3,1,30.5,0,0,364850,7.75,1,-1
3,0,30.5,0,0,364499,8.05,2,-1
3,1,31,1,0,345763,18,2,-1
1,1,31,1,0,35273,113.275,0,1
1,1,31,0,2,36928,164.8667,2,1
3,1,31,1,1,363291,20.525,2,1
3,1,31,0,0,350407,7.8542,2,-1
2,0,31,0,0,18723,10.5,2,-1
2,0,31,1,1,31921,26.25,2,-1
1,0,31,1,0,12750,52,2,-1
2,0,31,0,0,244270,13,2,1
1,0,31,1,0,17474,57,2,1
3,0,31,0,0,2,7.925,2,1
3,0,31,0,0,335097,7.75,1,-1
3,1,31,0,0,349244,8.6833,2,1
2,1,31,1,1,31921,26.25,2,1
3,0,31,0,0,347063,7.775,2,-1
2,0,31,1,1,2079,37.0042,0,-1
1,0,31,0,0,17590,50.4958,2,-1
2,0,32,0,0,33111,10.5,2,-1
3,0,32,0,0,1601,56.4958,2,1
2,1,32,0,0,234604,13,2,1
3,0,32,1,0,3101278,15.85,2,-1
1,1,32,0,0,11813,76.2917,0,1
3,0,32,0,0,2,7.925,2,-1
3,0,32,0,0,392078,8.05,2,1
3,0,32,0,0,349242,7.8958,2,-1
2,0,32,1,0,2908,26,2,1
3,0,32,0,0,350417,7.8542,2,1
3,0,32,0,0,2,7.925,2,1
1,0,32,0,0,13214,30.5,0,1
3,0,32,0,0,2,7.925,2,-1
3,1,32,1,1,364849,15.5,1,-1
2,0,32,2,0,14879,73.5,2,-1
3,0,32,0,0,8471,8.3625,2,-1
3,0,32,0,0,1601,56.4958,2,1
3,0,32,0,0,370376,7.75,1,-1
2,0,32.5,1,0,237736,30.0708,0,-1
2,1,32.5,0,0,27267,13,2,1
3,1,33,3,0,3101278,15.85,2,1
3,0,33,0,0,7540,8.6542,2,-1
3,0,33,0,0,349241,7.8958,0,-1
2,0,33,0,0,1585,12.275,2,-1
3,0,33,0,0,349239,8.6625,0,-1
1,1,33,1,0,19928,90,1,1
2,1,33,1,2,34651,27.75,2,1
2,1,33,0,2,26360,26,2,1
3,0,33,1,1,363291,20.525,2,-1
3,0,33,0,0,347062,7.775,2,-1
3,0,33,0,0,345780,9.5,2,-1
1,1,33,0,0,110152,86.5,2,1
1,1,33,1,0,113806,53.1,2,1
1,0,33,0,0,695,5,2,-1
3,0,33,0,0,349257,7.8958,2,-1
2,0,34,0,0,248698,13,2,1
2,1,34,0,1,231919,23,2,1
2,0,34,1,0,244367,26,2,-1
3,0,34,0,0,3101264,6.4958,2,-1
2,0,34,1,0,28664,21,2,-1
2,1,34,1,1,28220,32.5,2,1
1,0,34,0,0,113794,26.55,2,1
3,0,34,0,0,364506,8.05,2,-1
2,0,34,1,0,31027,21,2,-1
2,1,34,0,0,34260,10.5,2,1
2,1,34,0,0,243880,13,2,1
3,0,34,1,1,347080,14.4,2,-1
2,0,34,0,0,12233,13,2,-1
3,0,34,0,0,363294,8.05,2,-1
2,0,34,0,0,250647,13,2,-1
3,0,34.5,0,0,2683,6.4375,0,-1
1,1,35,1,0,113803,53.1,2,1
3,0,35,0,0,373450,8.05,2,-1
2,0,35,0,0,239865,26,2,-1
2,1,35,0,0,13528,21,2,1
1,1,35,1,0,36973,83.475,2,1
1,1,35,0,0,17755,512.3292,0,1
1,1,35,0,0,17760,135.6333,2,1
3,1,35,1,1,2673,20.25,2,1
3,0,35,0,0,3101310,7.05,2,-1
1,1,35,1,0,113789,52,2,1
1,1,35,1,0,19943,90,2,1
3,0,35,0,0,2,7.125,2,-1
1,0,35,0,0,111426,26.55,0,1
3,0,35,0,0,364512,8.05,2,-1
1,0,35,0,0,17475,26.2875,2,1
1,0,35,0,0,17755,512.3292,0,1
2,0,35,0,0,28206,10.5,2,-1
3,0,35,0,0,349213,7.8958,0,-1
3,0,36,0,0,0,0,2,-1
3,0,36,0,0,349247,7.8958,2,-1
2,0,36,0,0,17248,10.5,2,-1
2,0,36,0,0,2163,12.875,0,-1
1,1,36,0,0,17760,135.6333,0,1
2,1,36,0,0,28551,13,2,1
2,0,36,0,0,229236,13,2,-1
2,1,36,0,0,27849,13,2,1
1,0,36,1,2,113760,120,2,1
2,0,36,1,2,34651,27.75,2,-1
1,0,36,0,0,17473,26.2875,2,1
2,1,36,1,0,226875,26,2,1
1,1,36,0,2,5735,71,2,1
3,1,36,1,0,345572,17.4,2,1
1,0,36,0,0,17474,26.3875,2,1
1,0,36,0,0,13049,40.125,0,-1
3,0,36,1,1,345773,24.15,2,-1
3,0,36,1,0,349910,15.55,2,-1
3,0,36,0,0,349210,7.4958,2,-1
1,0,36,0,1,17755,512.3292,0,1
1,0,36,1,0,19877,78.85,2,-1
1,1,36,1,2,113760,120,2,1
2,0,36.5,0,2,230080,26,2,-1
3,0,37,2,0,3101276,7.925,2,-1
1,0,37,1,0,113803,53.1,2,-1
1,0,37,1,1,11751,52.5542,2,1
1,0,37,0,1,17596,29.7,0,-1
3,1,37,0,0,4135,9.5875,2,-1
2,0,37,1,0,29037,26,2,-1
1,1,38,1,0,17599,71.2833,0,1
3,1,38,1,5,347077,31.3875,2,1
1,1,38,0,0,113572,80,2,1
3,0,38,0,0,349249,7.8958,2,-1
1,0,38,1,0,19943,90,2,1
1,0,38,0,1,17582,153.4625,2,-1
2,1,38,0,0,237671,13,2,-1
3,0,38,0,0,3101306,7.05,2,-1
3,0,38,0,0,315089,8.6625,2,-1
1,1,38,0,0,17757,227.525,0,1
1,0,38,0,0,19972,0,2,-1
3,0,39,1,5,347082,31.275,2,-1
3,0,39,0,0,2,7.925,2,1
3,0,39,0,0,3101296,7.925,2,-1
1,1,39,1,1,110413,79.65,2,1
1,1,39,1,0,13507,55.9,2,1
1,1,39,1,1,17421,110.8833,0,1
3,1,39,1,5,347082,31.275,2,-1
2,0,39,0,0,250655,26,2,-1
2,0,39,0,0,28213,13,2,-1
1,0,39,0,0,112050,0,2,-1
2,0,39,0,0,248723,13,2,-1
3,0,39,0,0,4,24.15,2,-1
1,1,39,1,1,17756,83.1583,0,1
3,1,39,0,5,382652,29.125,1,-1
1,0,40,0,0,17601,27.7208,0,-1
3,1,40,1,0,7546,9.475,2,-1
2,1,40,0,0,33595,15.75,2,1
3,0,40,1,1,364849,15.5,1,-1
1,0,40,0,0,112277,31,0,1
1,0,40,0,0,112059,0,2,-1
1,1,40,1,1,16966,134.5,0,1
2,1,40,0,0,31418,13,2,1
3,0,40,1,4,347088,27.9,2,-1
3,0,40,0,0,349251,7.8958,2,-1
1,1,40,0,0,17582,153.4625,2,1
3,0,40,0,0,2623,7.225,0,-1
2,1,40,1,1,29750,39,2,1
3,0,40.5,0,2,5,14.5,2,-1
3,0,40.5,0,0,367232,7.75,1,-1
3,1,41,0,2,370129,20.2125,2,-1
2,1,41,0,1,250644,19.5,2,1
1,1,41,0,0,16966,134.5,0,1
3,1,41,0,5,3101295,39.6875,2,-1
3,0,41,0,0,2,7.125,2,-1
3,0,41,2,0,350026,14.1083,2,-1
1,0,42,1,0,113789,52,2,-1
2,0,42,0,0,244310,13,2,-1
3,0,42,0,1,4579,8.4042,2,-1
2,0,42,1,0,243847,27,2,-1
2,0,42,0,0,237798,13,2,1
3,0,42,0,0,315088,8.6625,2,-1
1,1,42,0,0,17757,227.525,0,1
2,1,42,1,0,3085,26,2,1
1,0,42,1,0,11753,52.5542,2,1
3,0,42,0,0,348121,7.65,2,-1
1,0,42,0,0,17476,26.2875,2,1
3,0,42,0,0,5547,7.55,2,-1
2,1,42,0,0,236852,13,2,1
2,0,43,1,1,13529,26.25,2,-1
3,0,43,0,0,5,8.05,2,-1
3,1,43,1,6,2144,46.9,2,-1
1,1,43,0,1,24160,211.3375,2,1
3,0,43,0,0,7075,6.45,2,-1
3,0,44,0,1,371362,16.1,2,-1
1,1,44,0,0,17610,27.7208,0,1
2,0,44,1,0,26707,26,2,-1
1,0,44,2,0,19928,90,1,-1
3,0,44,0,0,2,7.925,2,1
1,1,44,0,1,111361,57.9792,0,1
3,0,44,0,0,364511,8.05,2,-1
3,0,44,0,0,363592,8.05,2,-1
2,1,44,1,0,244252,26,2,-1
1,0,45,1,0,36973,83.475,2,-1
3,0,45,0,0,347061,6.975,2,-1
3,1,45,1,4,347088,27.9,2,-1
1,0,45,0,0,111428,26.55,2,1
3,1,45,0,0,347073,7.75,2,-1
3,0,45,0,0,7598,8.05,2,1
1,0,45,0,0,113784,35.5,2,-1
3,1,45,0,1,2691,14.4542,0,-1
2,1,45,1,1,13529,26.25,2,1
1,0,45,0,0,113050,26.55,2,-1
2,1,45,0,0,223596,13.5,2,1
1,1,45,1,1,36928,164.8667,2,1
3,0,45.5,0,0,2628,7.225,0,-1
1,0,45.5,0,0,113043,28.5,2,-1
1,0,46,1,0,5734,61.175,2,-1
2,0,46,0,0,28403,26,2,-1
1,0,46,0,0,17593,79.2,0,-1
1,0,47,0,0,110465,52,2,-1
3,1,47,1,0,5,14.5,2,-1
1,0,47,0,0,111320,38.5,2,-1
1,0,47,0,0,36967,34.0208,2,-1
2,0,47,0,0,237565,15,2,-1
3,0,47,0,0,5,7.25,2,-1
1,0,47,0,0,5727,25.5875,2,-1
1,1,47,1,1,11751,52.5542,2,1
3,0,47,0,0,345765,9,2,-1
1,0,48,0,0,19952,26.55,2,1
2,0,48,0,0,234360,13,2,-1
1,1,48,1,0,11755,39.6,0,1
1,0,48,1,0,17572,76.7292,0,1
1,0,48,1,0,19996,52,2,1
3,1,48,1,3,6608,34.375,2,-1
2,1,48,1,2,220845,65,2,1
3,0,48,0,0,350047,7.8542,2,-1
1,1,48,0,0,17466,25.9292,2,1
1,1,49,1,0,17572,76.7292,0,1
1,0,49,1,0,17453,89.1042,0,1
3,0,49,0,0,0,0,2,-1
1,0,49,1,0,17485,56.9292,0,1
1,0,49,1,1,17421,110.8833,0,-1
1,1,49,0,0,17465,25.9292,2,1
1,1,50,0,0,17595,28.7125,0,-1
2,1,50,0,1,230433,26,2,1
1,1,50,0,1,17558,247.5208,0,1
1,0,50,1,0,13507,55.9,2,-1
2,1,50,0,0,13531,10.5,2,1
3,0,50,0,0,5,8.05,2,-1
